"","id.exposure","id.outcome","outcome","exposure","egger_intercept","se","pval"
"1","6rt0yh","ZGCsAt","UK Biobank Oral Cancer","LDLR",0.102540886024333,0.0905131177052433,0.460388126291906
"2","cx8FFm","ZGCsAt","UK Biobank Oral Cancer","CETP",-0.00493534863403174,0.163666202353429,0.976921493608454
"3","r6FySU","ZGCsAt","UK Biobank Oral Cancer","HMGCR",0.244005883979135,0.220357945123923,0.330260628223929
"4","wNpvB4","ZGCsAt","UK Biobank Oral Cancer","NPC1L1",-0.38653101700186,0.466974713103926,0.468518994407911
"5","ZbmyjK","ZGCsAt","UK Biobank Oral Cancer","PCSK9",0.00315222271192196,0.156978790989923,0.984755796246364
