"","id.exposure","id.outcome","outcome","exposure","egger_intercept","se","pval"
"1","F3WStt","2JBitc","outcome","PCSK9",0.0144761922909279,0.066859349138184,0.83917887724117
"2","n8p5O6","2JBitc","outcome","NPC1L1",-0.0790535483792618,0.121166937972326,0.560654115825106
"3","OQBVzj","2JBitc","outcome","CETP",-0.0480981085202623,0.076826238770281,0.565224297148043
"4","RTTK1v","2JBitc","outcome","HMGCR",-0.00887338390936849,0.0969588839428215,0.932850292279062
"5","UwxJ4Y","2JBitc","outcome","LDLR",0.00583943994664952,0.050820732818107,0.927170057605205
