"","id.exposure","id.outcome","outcome","exposure","egger_intercept","se","pval"
"1","4bR9XM","At7QtJ","outcome","HMGCR",0.0113550926871371,0.0760834095247978,0.890828437029995
"2","56iCmO","At7QtJ","outcome","LDLR",0.034789651447273,0.0353733431846981,0.505295970206206
"3","8WzrD5","At7QtJ","outcome","CETP",-0.0157951777194067,0.0620975372776993,0.811757895654508
"4","A1eL1U","At7QtJ","outcome","PCSK9",-0.00556560976756574,0.059068166569299,0.929462773040655
"5","F5jola","At7QtJ","outcome","NPC1L1",-0.0492354145346824,0.0993348849351491,0.654175781615559
