"","id.exposure","id.outcome","outcome","exposure","egger_intercept","se","pval"
"1","149HEw","SyIwvH","outcome","LDLR",0.0623043722493285,0.0422676187606187,0.379479756834194
"2","ACQ12l","SyIwvH","outcome","NPC1L1",-0.0359528570889254,0.131776351288226,0.802684720712136
"3","fIfUZ6","SyIwvH","outcome","PCSK9",-0.027705795723799,0.0939778991397548,0.7828055057835
"4","WEr1Hl","SyIwvH","outcome","CETP",0.0103129017374639,0.0798608885316624,0.903483145529103
"5","ZQHBmW","SyIwvH","outcome","HMGCR",-0.00776362613715929,0.102980077768006,0.944650595248318
